raceId,driverId,stint_id,stint_start_lap,stint_end_lap,stint_length,mean_lap_time_ms,median_lap_time_ms,std_lap_time_ms,max_tyre_age,degradation_slope_ms_per_lap
1030,848,1,1,13,13,104184.0,104184.0,1523.912104605806,13,-115.45604395604386
1030,848,2,14,55,42,103092.0,103092.0,3276.3862441045476,42,-98.27347864840776
1031,1,1,1,26,26,69349.0,69349.0,3899.5715695642584,26,84.38188034188035
1031,1,2,27,56,30,68532.5,68532.5,20108.78437911519,30,94.56885428253614
1031,1,3,57,71,15,68572.0,68572.0,18114.896978007066,15,-3174.5
1031,8,1,1,24,24,71531.5,71531.5,2085.0695379916892,24,-125.08434782608701
1031,8,2,25,51,27,70332.0,70332.0,12525.930134299206,27,-840.6092796092797
1031,8,3,52,53,2,98102.5,98102.5,14548.722022913214,2,
1031,20,1,1,26,26,70693.0,70693.0,4713.990232847817,26,116.1049572649572
1031,20,2,27,51,25,70043.0,70043.0,13930.29145399813,25,-974.321538461538
1031,20,3,52,56,5,102023.0,102023.0,15243.961781636686,5,3699.9999999999995
1031,20,4,57,71,15,70623.0,70623.0,16335.89675034999,15,-2899.385714285714
1031,154,1,1,20,20,71829.0,71829.0,3745.3391512511575,20,15.082706766917381
1031,154,2,21,49,29,71061.0,71061.0,13427.08610306837,29,-235.28177339901487
1031,815,1,1,26,26,70263.0,70263.0,3779.8246050068756,26,93.72341880341875
1031,815,2,27,56,30,68936.0,68936.0,18256.54511728713,30,134.57997775305896
1031,815,3,57,71,15,69426.0,69426.0,17808.20873669006,15,-3050.089285714286
1031,817,1,1,17,17,70885.0,70885.0,6798.024565463635,17,362.38480392156873
1031,822,1,1,26,26,69449.0,69449.0,2896.3909980950757,26,125.9244444444444
1031,822,2,27,56,30,68467.0,68467.0,20801.64471448318,30,52.78131256952169
1031,822,3,57,71,15,68238.0,68238.0,18231.53776054795,15,-3153.0035714285705
1031,825,1,1,24,24,71424.5,71424.5,1751.4409388611557,24,-131.75565217391303
1031,826,1,1,26,26,70975.0,70975.0,6345.972240842096,26,141.1545299145299
1031,826,2,27,51,25,70035.0,70035.0,12846.852771917853,25,-853.1015384615381
1031,826,3,52,56,5,102464.0,102464.0,10682.355802911641,5,2616.7999999999997
1031,826,4,57,69,13,71427.0,71427.0,17123.062160244288,13,-3539.65934065934
1031,830,1,1,11,11,69469.0,69469.0,20768.168760695477,11,2953.3727272727283
1031,832,1,1,26,26,70385.0,70385.0,4060.332541136916,26,88.05880341880345
1031,832,2,27,52,26,69400.5,69400.5,14941.882331888444,26,-838.5774358974356
1031,832,3,53,56,4,108565.0,108565.0,12134.214381931228,4,446.40000000000043
1031,832,4,57,71,15,69028.0,69028.0,17337.21568517523,15,-3018.525
1031,839,1,1,26,26,71511.0,71511.0,4630.063707818885,26,104.83897435897437
1031,839,2,27,56,30,70310.5,70310.5,15453.889193524941,30,278.77886540600656
1031,839,3,57,71,15,69733.0,69733.0,16862.38070578016,15,-2956.9285714285716
1031,840,1,1,20,20,70926.5,70926.5,2559.6387718006754,20,122.17142857142858
1031,841,1,1,25,25,71583.0,71583.0,2265.5502826760057,25,-50.079230769230705
1031,841,2,26,55,30,70310.5,70310.5,15893.634529179486,30,-91.26184649610678
1031,841,3,56,56,1,122702.0,122702.0,,1,
1031,841,4,57,71,15,70533.0,70533.0,16396.910451435084,15,-2891.853571428571
1031,842,1,1,26,26,70925.5,70925.5,5066.215804568683,26,107.2847863247863
1031,842,2,27,56,30,69960.5,69960.5,16128.30216919684,30,211.45828698553936
1031,842,3,57,71,15,69640.0,69640.0,17052.096040691078,15,-2984.428571428571
1031,844,1,1,26,26,70309.0,70309.0,3983.645240808394,26,94.7401709401709
1031,844,2,27,51,25,69245.0,69245.0,14821.455943102674,25,-1145.3115384615382
1031,844,3,52,56,5,104214.0,104214.0,7441.758777332144,5,1041.1999999999998
1031,844,4,57,71,15,68339.0,68339.0,17749.204664944715,15,-3124.3857142857146
1031,846,1,1,26,26,70159.5,70159.5,3998.6423951905717,26,112.84683760683755
1031,846,2,27,51,25,69111.0,69111.0,15268.753146213348,25,-1202.7499999999993
1031,846,3,52,56,5,105573.0,105573.0,7088.305770774848,5,458.4999999999999
1031,846,4,57,71,15,69102.0,69102.0,17736.657125314017,15,-3129.6464285714287
1031,847,1,1,25,25,71674.0,71674.0,2516.944651093201,25,-79.15153846153837
1031,847,2,26,49,24,70314.5,70314.5,14690.982455912455,24,-1162.7482608695652
1031,848,1,1,26,26,69941.0,69941.0,3498.8661998732373,26,104.35316239316236
1031,848,2,27,51,25,68827.0,68827.0,15917.256894850529,25,-1274.8192307692302
1031,848,3,52,56,5,109417.0,109417.0,7897.011922239956,5,-474.5000000000001
1031,848,4,57,67,11,70859.0,70859.0,18523.028527165367,11,-4950.590909090911
1031,849,1,1,26,26,71954.5,71954.5,9286.073680600342,26,392.55282051282035
1031,849,2,27,51,25,70442.0,70442.0,11926.824043865716,25,-479.8076923076923
1031,849,3,52,56,5,97124.0,97124.0,17509.49346783053,5,7056.7
1031,849,4,57,71,15,70910.0,70910.0,16029.193904813032,15,-2764.003571428572
1032,1,1,1,27,27,68631.0,68631.0,13035.038033422206,27,-740.2564102564105
1032,1,2,28,71,44,68023.5,68023.5,2687.120678476812,44,-58.15130373502464
1032,8,1,1,44,44,70047.0,70047.0,9651.832066009225,44,-338.72769556025344
1032,8,2,45,70,26,68838.0,68838.0,3394.58137534603,26,-142.0560683760684
1032,20,1,1,1,1,101037.0,101037.0,,1,
1032,154,1,1,37,37,70251.0,70251.0,10341.63765115602,37,-452.75699383594116
1032,154,2,38,70,33,68842.0,68842.0,3360.9086518245476,33,-112.45254010695196
1032,815,1,1,38,38,69649.5,69649.5,10267.35805049803,38,-455.4852828537039
1032,815,2,39,71,33,67715.0,67715.0,3753.400753690316,33,-29.787098930481093
1032,817,1,1,37,37,69732.0,69732.0,10379.194754085851,37,-457.31247036510183
1032,817,2,38,71,34,68409.0,68409.0,3029.0587991249254,34,-99.21283422459891
1032,822,1,1,34,34,68745.0,68745.0,11139.611039982663,34,-501.3932773109243
1032,822,2,35,71,37,67816.0,67816.0,2898.621888562365,37,-75.5277382645804
1032,825,1,1,31,31,70464.0,70464.0,10889.019838884162,31,-628.4052419354839
1032,825,2,32,70,39,68884.0,68884.0,2959.983662691539,39,-96.24352226720649
1032,826,1,1,36,36,70314.5,70314.5,10304.330635708471,36,-468.64954954954965
1032,826,2,37,70,34,68750.0,68750.0,3306.175060983329,34,-127.91184110007639
1032,830,1,1,24,24,68887.5,68887.5,13411.992402904934,24,-915.9108695652172
